atk,r0,comp,t_a,lat_adwin_err,lat_adwin_rho,lat_ph_err,lat_ph_rho,lead_adwin,lead_ph
mirai,0.1,11,2026,469,21,526,18,448,508
mirai,0.1,12,310,937,9,1001,12,928,989
mirai,0.1,13,1420,51,19,130,12,32,118
mirai,0.1,14,1676,51,19,130,21,32,109
mirai,0.1,15,1925,58,58,129,1,0,128
mirai,0.1,16,2169,70,6,126,15,64,111
mirai,0.1,17,2424,71,7,126,0,64,126
mirai,0.1,18,330,917,21,982,24,896,958
mirai,0.1,19,1420,51,19,130,12,32,118
mirai,0.1,2,1673,54,54,128,21,0,107
mirai,0.1,20,1676,51,19,130,21,32,109
mirai,0.1,21,1925,58,122,128,17,-64,111
mirai,0.1,22,2170,69,5,127,12,64,115
mirai,0.1,23,1940,555,11,615,18,544,597
mirai,0.1,24,346,901,5,967,20,896,947
mirai,0.1,25,1420,51,19,129,17,32,112
mirai,0.1,26,1676,51,19,128,28,32,100
mirai,0.1,27,1925,58,58,129,1,0,128
mirai,0.1,28,2169,70,6,128,29,64,99
mirai,0.1,29,1978,517,5,572,5,512,567
mirai,0.1,3,1925,58,122,129,17,-64,112
mirai,0.1,4,2169,70,6,128,29,64,99
mirai,0.1,5,1978,517,5,572,5,512,567
mirai,0.1,6,330,917,21,982,24,896,958
mirai,0.1,7,346,1125,5,1203,20,1120,1183
mirai,0.1,8,1676,51,19,128,24,32,104
mirai,0.1,9,1925,58,122,128,17,-64,111
recon,0.001,0,788,75,43,187,21,32,166
recon,0.001,1,1038,81,113,184,11,-32,173
recon,0.001,10,1766,57,57,189,3,0,186
recon,0.001,11,2047,64,32,176,26,32,150
recon,0.001,12,788,75,43,188,21,32,167
recon,0.001,13,1038,81,81,179,15,0,164
recon,0.001,14,1271,72,8,182,18,64,164
recon,0.001,15,1553,78,14,186,6,64,180
recon,0.001,16,1766,57,25,181,3,32,178
recon,0.001,17,2032,79,79,183,15,0,168
recon,0.001,18,788,75,43,187,21,32,166
recon,0.001,19,1038,81,81,179,15,0,164
recon,0.001,2,1274,69,5,177,15,64,162
recon,0.001,20,1274,69,5,175,15,64,160
recon,0.001,21,1553,78,14,181,6,64,175
recon,0.001,22,1766,57,25,181,3,32,178
recon,0.001,23,2047,64,32,178,26,32,152
recon,0.001,24,788,75,43,187,21,32,166
recon,0.001,25,1038,81,81,180,11,0,169
recon,0.001,26,1274,69,37,181,15,32,166
recon,0.001,27,1547,52,20,180,12,32,168
recon,0.001,28,1766,57,25,181,3,32,178
recon,0.001,29,2038,73,9,174,1,64,173
recon,0.001,3,1553,78,46,181,6,32,175
recon,0.001,4,1766,57,57,189,3,0,186
recon,0.001,5,2038,73,9,175,1,64,174
recon,0.001,6,788,75,43,187,21,32,166
recon,0.001,7,1038,81,81,179,15,0,164
recon,0.001,8,1274,69,37,181,15,32,166
recon,0.001,9,1553,78,46,181,6,32,175
recon,0.1,0,788,75,43,187,16,32,171
recon,0.1,1,1038,81,81,179,22,0,157
recon,0.1,10,1766,57,25,181,27,32,154
recon,0.1,11,2031,80,80,178,27,0,151
recon,0.1,12,788,75,43,187,16,32,171
recon,0.1,13,1038,81,81,180,22,0,158
recon,0.1,14,1274,69,37,179,8,32,171
recon,0.1,15,1553,78,14,181,23,64,158
recon,0.1,16,1761,62,30,184,19,32,165
recon,0.1,17,2045,66,34,176,3,32,173
recon,0.1,18,788,75,43,188,14,32,174
recon,0.1,19,1038,81,81,179,22,0,157
recon,0.1,2,1274,69,37,177,10,32,167
recon,0.1,20,1274,69,37,181,8,32,173
recon,0.1,21,1553,78,46,179,16,32,163
recon,0.1,22,1766,57,25,185,10,32,175
recon,0.1,23,2031,80,80,180,27,0,153
recon,0.1,24,788,75,43,187,28,32,159
recon,0.1,25,1038,81,81,179,22,0,157
recon,0.1,26,1274,69,37,181,22,32,159
recon,0.1,27,1548,83,19,180,19,64,161
recon,0.1,28,1766,57,25,187,6,32,181
recon,0.1,29,2038,73,9,177,16,64,161
recon,0.1,3,1553,78,14,181,23,64,158
recon,0.1,4,1766,57,25,181,18,32,163
recon,0.1,5,2032,79,79,183,26,0,157
recon,0.1,6,788,75,43,187,28,32,159
recon,0.1,7,1038,81,113,184,22,-32,162
recon,0.1,8,1271,72,8,179,21,64,158
recon,0.1,9,1553,78,46,182,16,32,166
