atk,r0,comp,t_a,lat_adwin_err,lat_adwin_rho,lat_ph_err,lat_ph_rho,lead_adwin,lead_ph
mirai,0.001,28,2170,69,37,127,27,32,100
mirai,0.001,29,1978,101,5,575,1,96,574
mirai,0.001,3,1923,156,252,128,0,-96,128
mirai,0.001,4,2169,70,38,128,27,32,101
mirai,0.001,5,2026,469,21,526,16,448,510
mirai,0.001,6,346,901,37,966,13,864,953
mirai,0.001,7,1420,51,19,129,28,32,101
mirai,0.001,8,1674,53,53,128,5,0,123
mirai,0.001,9,1925,58,26,128,4,32,124
mirai,0.1,0,346,901,37,966,22,864,944
mirai,0.1,1,1419,52,20,128,0,32,128
mirai,0.1,10,2170,69,5,127,0,64,127
mirai,0.1,11,1940,139,11,616,1,128,615
mirai,0.1,12,346,901,37,966,22,864,944
mirai,0.1,13,1420,51,19,129,1,32,128
mirai,0.1,14,1676,51,19,128,0,32,128
mirai,0.1,15,1925,58,58,128,0,0,128
mirai,0.1,16,2170,69,5,127,0,64,127
mirai,0.1,17,1940,555,11,616,1,544,615
mirai,0.1,18,310,937,9,1003,22,928,981
mirai,0.1,19,1418,53,21,129,1,32,128
mirai,0.1,2,1676,51,19,128,0,32,128
mirai,0.1,20,1674,53,21,128,23,32,105
mirai,0.1,21,1925,58,26,128,0,32,128
mirai,0.1,22,2169,70,6,127,0,64,127
mirai,0.1,23,2026,469,53,526,0,416,526
mirai,0.1,24,310,937,9,1003,22,928,981
mirai,0.1,25,330,1141,21,1218,4,1120,1214
mirai,0.1,26,1676,51,19,128,0,32,128
mirai,0.1,27,1925,58,26,128,0,32,128
mirai,0.1,28,2169,70,6,128,0,64,128
mirai,0.1,29,1983,512,32,571,7,480,564
mirai,0.1,3,1925,58,26,128,0,32,128
mirai,0.1,4,2169,70,6,128,0,64,128
mirai,0.1,5,1978,517,5,575,8,512,567
mirai,0.1,6,295,952,120,1016,14,832,1002
mirai,0.1,7,1416,55,23,128,0,32,128
mirai,0.1,8,1676,51,19,128,0,32,128
mirai,0.1,9,1925,58,26,128,0,32,128
recon,0.001,0,788,75,11,184,23,64,161
recon,0.001,1,1038,81,17,179,1,64,178
recon,0.001,10,1766,57,25,179,0,32,179
recon,0.001,11,2038,73,9,172,4,64,168
recon,0.001,12,788,75,11,181,21,64,160
recon,0.001,13,1038,81,17,181,24,64,157
recon,0.001,14,1274,69,37,178,2,32,176
