run,algorithm,attack,seed,flows_processed,attack_flows,benign_flows,anomaly_rate_pct,real_attack_rate_pct,precision,recall,f1,fpr,accuracy,tp,fp,tn,fn,throughput_fps,elapsed_s,git_commit,ground_truth,r0
variant_V0_original-recon-seed42,variant_V0_original,recon,seed42,10000,5572,4428,36.120000000000005,55.72,0.4277408637873754,0.27727925340990667,0.3364547038327526,0.46680216802168023,0.3906,1545,2067,2361,4027,14.731561753880195,678.8146543502808,fea56fb,ip,0.1
variant_V0_original-syn-seed42,variant_V0_original,syn,seed42,10000,6317,3683,29.509999999999998,63.17,0.4161301253812267,0.19439607408580023,0.26499784203711696,0.4678251425468368,0.3188,1228,1723,1960,5089,17.79397671972163,561.9879219532013,fea56fb,ip,0.1
variant_V0_original-tcp-seed42,variant_V0_original,tcp,seed42,10000,3717,6283,62.72,37.17,0.46779336734693877,0.7893462469733656,0.5874461908098909,0.5312748686932994,0.5879,2934,3338,2945,783,11.41136187018554,876.3195939064026,fea56fb,ip,0.1
variant_V1_welford_var-benign-seed42,variant_V1_welford_var,benign,seed42,3240,0,3240,1.0493827160493827,0.0,0.0,0.0,0.0,0.010493827160493827,0.9895061728395061,0,34,3206,0,173.1812739788908,18.708720207214355,54b7a00,ip,0.1
variant_V1_welford_var-ddos-seed42,variant_V1_welford_var,ddos,seed42,10000,6305,3695,0.37,63.05,0.05405405405405406,0.00031720856463124506,0.000630715862503942,0.009472259810554804,0.3662,2,35,3660,6303,471.59152052652337,21.2047917842865,6581033,ip,0.1
variant_V3_welford_and_ecc-benign-seed42,variant_V3_welford_and_ecc,benign,seed42,1715,0,1715,72.06997084548105,0.0,0.0,0.0,0.0,0.7206997084548105,0.2793002915451895,0,1236,479,0,39.28148206858838,43.65924882888794,54b7a00,ip,0.1
variant_V4_selective_update-benign-seed42,variant_V4_selective_update,benign,seed42,3247,0,3247,47.982753310748386,0.0,0.0,0.0,0.0,0.47982753310748383,0.5201724668925162,0,1558,1689,0,36.56672143693916,88.79658532142639,54b7a00,ip,0.1
variant_V4_selective_update-ddos-seed42,variant_V4_selective_update,ddos,seed42,10000,6302,3698,66.84,63.02,0.7118491921005387,0.754998413202158,0.7327891575542892,0.5208220659816117,0.653,4758,1926,1772,1544,11.377903985967853,878.896500825882,fea56fb,ip,0.1
variant_V4_selective_update-mirai-seed42,variant_V4_selective_update,mirai,seed42,4424,1119,3305,48.9376130198915,25.29385171790235,0.2577367205542725,0.49865951742627346,0.3398294762484774,0.486232980332829,0.5099457504520796,558,1607,1698,561,28.005658182273976,157.9680781364441,fea56fb,ip,0.1
variant_V4_selective_update-recon-seed42,variant_V4_selective_update,recon,seed42,10000,5589,4411,34.910000000000004,55.89,0.42509309653394445,0.2655215602075505,0.3268722466960352,0.45499886647018817,0.3888,1484,2007,2404,4105,15.591958967927201,641.3562285900116,fea56fb,ip,0.1
variant_V4_selective_update-syn-seed42,variant_V4_selective_update,syn,seed42,10000,6293,3707,29.95,62.93,0.4273789649415693,0.20340060384554268,0.2756244616709733,0.46263825195575936,0.3272,1280,1715,1992,5013,17.56510509122668,569.3105704784393,fea56fb,ip,0.1
variant_V4_selective_update-tcp-seed42,variant_V4_selective_update,tcp,seed42,10000,3745,6255,63.55,37.45,0.46907946498819825,0.7959946595460614,0.5902970297029704,0.5394084732214228,0.5862,2981,3374,2881,764,11.916569133085256,839.1677074432373,fea56fb,ip,0.1
