atk,r0,comp,t_a,lat_adwin_err,lat_adwin_rho,lat_ph_err,lat_ph_rho,lead_adwin,lead_ph
mirai,0.1,16,2169,70,70,139,125,0,14
mirai,0.1,17,1838,657,17,727,32,640,695
mirai,0.1,18,330,117,181,997,153,-64,844
mirai,0.1,19,1419,52,212,137,295,-160,-158
mirai,0.1,2,1674,53,85,138,383,-32,-245
mirai,0.1,20,1672,55,87,162,209,-32,-47
mirai,0.1,21,1923,60,60,139,304,0,-165
mirai,0.1,22,2170,69,197,138,39,-128,99
mirai,0.1,23,1893,218,26,474,209,192,265
mirai,0.1,24,330,117,181,997,153,-64,844
mirai,0.1,25,1420,51,243,140,26,-192,114
mirai,0.1,26,1676,51,83,137,53,-32,84
mirai,0.1,27,1925,58,154,145,114,-96,31
mirai,0.1,28,2169,70,70,139,125,0,14
mirai,0.1,29,2429,66,2,139,33,64,106
mirai,0.1,3,1925,58,26,147,122,32,25
mirai,0.1,4,2169,70,70,139,125,0,14
mirai,0.1,5,1978,133,69,572,29,64,543
mirai,0.1,6,330,117,181,997,153,-64,844
mirai,0.1,7,1420,51,243,140,26,-192,114
mirai,0.1,8,1672,55,87,162,211,-32,-49
mirai,0.1,9,1921,62,254,145,108,-192,37
recon,0.001,0,788,171,43,405,39,128,366
recon,0.001,1,1038,113,49,339,7,64,332
recon,0.001,10,1766,121,25,203,11,96,192
recon,0.001,11,2045,34,34,198,15,0,183
recon,0.001,12,788,139,43,355,23,96,332
recon,0.001,13,1038,113,17,348,25,96,323
recon,0.001,14,1274,101,5,341,17,96,324
recon,0.001,15,1553,110,14,243,17,96,226
recon,0.001,16,1766,89,25,219,9,64,210
recon,0.001,17,2040,71,7,198,15,64,183
recon,0.001,18,788,139,43,363,1,96,362
recon,0.001,19,1036,115,19,344,21,96,323
recon,0.001,2,1272,103,7,287,29,96,258
recon,0.001,20,1274,101,5,339,17,96,322
recon,0.001,21,1553,78,46,236,9,32,227
recon,0.001,22,1766,89,25,219,9,64,210
recon,0.001,23,2038,73,41,195,54,32,141
recon,0.001,24,786,141,13,396,25,128,371
recon,0.001,25,1038,113,49,343,7,64,336
recon,0.001,26,1274,101,5,323,26,96,297
recon,0.001,27,1548,83,19,215,2,64,213
recon,0.001,28,1766,121,25,206,8,96,198
recon,0.001,29,2045,66,34,203,15,32,188
recon,0.001,3,1553,78,46,236,9,32,227
recon,0.001,4,1766,89,25,211,6,64,205
recon,0.001,5,2044,35,35,193,10,0,183
recon,0.001,6,788,139,43,363,1,96,362
recon,0.001,7,1038,113,17,349,24,96,325
recon,0.001,8,1274,101,5,294,22,96,272
recon,0.001,9,1553,110,14,238,16,96,222
recon,0.1,0,787,76,172,208,357,-96,-149
recon,0.1,1,1038,81,17,205,149,64,56
recon,0.1,10,1764,59,27,187,3,32,184
recon,0.1,11,2043,68,36,247,62,32,185
recon,0.1,12,787,76,236,206,837,-160,-631
recon,0.1,13,1038,81,17,207,142,64,65
recon,0.1,14,1274,69,101,206,121,-32,85
recon,0.1,15,1553,78,46,199,57,32,142
recon,0.1,16,1766,57,89,190,89,-32,101
recon,0.1,17,2037,74,10,224,78,64,146
recon,0.1,18,788,139,75,209,108,64,101
recon,0.1,19,1037,82,178,203,44,-96,159
recon,0.1,2,1272,71,7,198,76,64,122
recon,0.1,20,1274,69,5,195,47,64,148
recon,0.1,21,1553,78,46,202,72,32,130
